txn_id,part_id,serial_no,quantity,updated_at,operator
TXN-001,P-002,SN-002,10,2026-07-01,T2
TXN-002,P-003,SN-003,20,2026-07-01,T3
TXN-003,P-004,SN-004,30,2026-07-01,T1
TXN-004,P-005,SN-005,40,2026-07-01,T2
TXN-005,P-006,SN-006,50,2026-07-01,T3
TXN-006,P-007,SN-007,60,2026-07-01,T1
TXN-007,P-008,SN-MISMATCH,70,2026-07-01,T2
TXN-008,P-009,SN-009,80,2026-07-01,
TXN-009,P-010,SN-010,90,2026-07-01,T1
TXN-010,P-011,SN-011,100,2026-07-01,T2
TXN-011,P-012,SN-012,110,2026-07-01,T3
TXN-012,P-001,SN-001,120,2026-07-01,T1
TXN-013,P-002,SN-002,130,2026-07-01,T2
TXN-014,P-003,SN-003,140,2026-07-01,T3
TXN-015,P-888,SN-004,150,2026-07-01,T1
TXN-016,P-005,SN-005,160,2025-10-01,T2
