instance_id,part_id,serial_no,certificate_no,operator,updated_at
INST-001,P-001,SN-001,CERT-0001,O2,2026-07-01
INST-002,P-002,SN-002,CERT-0002,O3,2026-07-01
INST-003,P-003,SN-003,CERT-0003,O1,2026-07-01
INST-004,P-004,SN-004,CERT-0004,O2,2026-07-01
INST-005,P-005,SN-005,,O3,2026-07-01
INST-006,P-006,SN-WRONG,CERT-0006,O1,2026-07-01
INST-007,P-007,SN-007,CERT-0007,O2,2026-07-01
INST-008,P-008,SN-008,CERT-0008,O3,2026-07-01
INST-009,P-009,SN-009,CERT-0009,,2026-07-01
INST-010,P-010,SN-010,CERT-0010,O2,2026-07-01
INST-011,P-011,SN-011,CERT-0011,O3,2026-07-01
INST-012,P-012,SN-012,CERT-0012,O1,2025-10-01
INST-013,P-999,SN-099,CERT-0013,O2,2026-07-01
INST-014,P-014,SN-099,CERT-0014,O3,2026-07-01
