part_id,part_code,part_name,serial_no,country_code,updated_at,operator
P-001,CODE-001,器材1,SN-001,CN,2026-07-01,U2
P-002,CODE-002,器材2,SN-002,CN,2026-07-01,U3
P-003,CODE-003,器材3,SN-003,CN,2026-07-01,U1
P-004,CODE-004,器材4,SN-003,CN,2026-07-01,U2
P-005,CODE-005,器材5,SN-005,CN,2026-07-01,U3
P-006,CODE-006,器材6,SN-006,CN,2026-07-01,U1
P-007,CODE-007,器材7,SN-007,XX,2026-07-01,U2
P-008,CODE-008,器材8,SN-008,CN,2026-07-01,U3
P-009,CODE-009,,SN-009,CN,2026-07-01,U1
P-010,CODE-010,器材10,SN-010,CN,2026-07-01,U2
P-011,CODE-011,器材11,SN-011,CN,2025-10-01,U3
P-012,CODE-012,器材12,SN-012,CN,2026-07-01,U1
